original_title,original_language,adult,budget,backdrop_path,homepage,id,imdb_id,overview,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,genre,production_companies,belongs_to_collection,spoken_languages,production_countries,review_count,review_content,keywords,cast_size,crew_size,director
Ready Player One,en,False,175000000,/q7fXcrDPJcf6t3rzutaNwTzuKP1.jpg,http://readyplayeronemovie.com,333339,tt1677720,"When the creator of a popular video game system dies, a virtual contest is created to compete for his fortune.",109.17,/pU1ULUq8D3iRxl1fdX2lZIzdHuI.jpg,2018-03-28,582890172,140,Released,A better reality awaits.,Ready Player One,False,7.6,10540,"Adventure,Science Fiction,","Amblin Entertainment,De Line Pictures,Warner Bros. Pictures,Dune Entertainment,Farah Films & Management,Reliance Entertainment,Village Roadshow Pictures,",,"en,","US,",7,"There's a moment in this movie when the central character says ""I love her"". His friend hastily replies, ""Slow down bro... she could be a 300 lb man living in his mom's basement."" In the very brief beat between the two lines, I thought FINALLY a movie about falling in love completely independent of what a person's genetics may be. And then the crushing cynicism in a dystopian world where there is little to live for and even less to hope for: even in a nightmare, a fat man is undateable.

Don't worry though. If you have the skills you may end up on top. Just like Ben Mendelsohn's slave-owning antagonist almost did. Because in this story, it's not a world where anyone feels compassion or empathy. It's a world where everyone only thinks of themselves. A sociopath's dream. And that's what earns the top prize.

I love looking at Tye Sheridan. But not enough to sit through this again.,I watched this movie because I was once working in the VR industry and really curious what it could tell us (even though I am not really interested after watching the trailer).

Anyway, the experience is not bad (in 4DX). But not recommended for a second watch since there is little to dig and feel except for the numerous, eye-dazzling amount of Easter eggs.

Sorry.,Another great movie from Steven Spielberg,Obviously everything from the book cannot go into the movie, however a lot of what got into the movie was not from the book. Too much focus on car chases and too little on solving a puzzle.

If you haven't read the book, read the book! it's much more awesome!,Can you imagine watching this if you didn't give a fuck about the '80s? Like there's nothing that happens in _Ready Player One_ that isn't a reference to **something** at least, but almost all of them are '80s references. I mean I worship at the altar of 1980s' references on a daily basis, and even for me this was only so-so, I fear to imagine what _Ready Player One_ might be like for someone who actually demands originality.

Honestly, it was better than I was expecting, I'll front to that. The promotional campaign for this had the barometer for my excitement on this at a firm zero, and by the time I had finished watching it I was surprised to find I had actually enjoyed multiple things about it, but _Ready Player One_ is an exercise in lack of subtlety, and really tries your limits on suspension of disbelief. Not because of the fantastical endless virtual world inhabited by near every creation since the dawn of pop-culture, but because of the character interactions in their ""real world"".

_Final rating:★★½ - Had a lot that appealed to me, didn’t quite work as a whole._,I did not know what I would really think about it when I started to watch this movie. I hoped that I would like it but I was not sure what I would actually get. I used to like Steven Spielberg a lot but later in his career he’s done movies that either was not my kind of movies or that I was simply not that impressed by. However, as it turned out, this one I liked a lot as you can see from my rating.

As a computer nerd and science fiction geek this movie was of course right up my alley. I have thought other movies would be my kind of movies before but been sorely disappointed by ignorant and incompetent screen writers and directors trying to cash in on subjects that they knew absolutely nothing about. Spielberg did a good job of not screwing this one up.

The core of this movie is of course plenty of action and computer generated special effects with a somewhat apocalyptic story to bind everything together. The story works but it is not really anything special and some of the stuff, like the loyalty centers, was frankly a bit silly. But, as I wrote, it works and does not get in the way so that’s good enough for me.

As the previously mentioned nerd and geek I absolutely loved the abundant references to science fiction, fantasy and gaming history and lore. For me those were soo cool. I will probably watch the movie again just to focus on the background and see how much stuff I can spot. Stuff that I missed when watching the movie the first time.

The CGI effects and the action was also pretty awesome. The movie starts off right away with a great and absolutely insanely wild car race and continues to go strong from there. The battle at Doom castle at the end is just epic.

The only thing that made me go WTF was at the end [SPOILER AHEAD] were Mr Asswipe Sorrento finally catches up with the High Five’s van and the he just freezes and looks at Wade with a silly look on his face. What the fuck was that? Just stupid for no good reason.

Well, few are the movies where there’s nothing to gripe about. On the whole though this movie was great in my book. Also, I cannot say how pleased I am to finally watch a Hollywood movie that is not a remake or a sequel or a prequel or some other lame excuse to rehash a movie that has already been made.,""Wild trip down memory lane... in a DeLorean""

In 2045 people escape their harsh reality by going to a virtual world called the OASIS. After the creator dies, he challenges all users to go on a hunt for an Easter egg which gives them control over the OASIS.

'Ready Player One' isn’t a movie you’d expect from a 71 year old filmmaker but Spielberg once again shows his range. It's an incredibly fun ride that’ll have you cracking up more than once (“It’s f***ing Chucky!”).

While Spielberg switches seamlessly between real life and the virtual reality it’s rather difficult to get emotionally invested in the movie. Nonetheless most characters are fun and the love story between Parzival/Wade and Art3mis/Samantha gives it some depth.
Ben Mendelsohn is delightful as the villain and Mark Rylance is excellent once again.

The biggest treat of course is the nostalgia. You’ll have a blast simply by counting the pop culture references(Iron Giant’s thumbs up and the Shining among my personal favorites). The movie features a killer 80’s soundtrack and Alan Silvestri provides the finishing touch with a wonderful score.

Ready Player One is a visual feast. See it on the biggest screen you can find. Preferably in Imax. Especially during the race you’ll be blown away.,","video game,based on novel or book,future,virtual reality,dystopia,nostalgia,love,evil corporation,quest,1980s,2040s,based on young adult novel,columbus, ohio,",81,387,"Steven Spielberg,"
Pacific Rim: Uprising,en,False,150000000,/oMaj75G2WFw66xI1TREg1hrToSg.jpg,http://pacificrimmovie.com,268896,tt2557478,"It has been ten years since The Battle of the Breach and the oceans are still, but restless. Vindicated by the victory at the Breach, the Jaeger program has evolved into the most powerful global defense force in human history. The PPDC now calls upon the best and brightest to rise up and become the next generation of heroes when the Kaiju threat returns.",59.652,/v5HlmJK9bdeHxN2QhaFP1ivjX3U.jpg,2018-03-21,290061297,111,Released,Rise Up,Pacific Rim: Uprising,False,6.1,3347,"Action,Fantasy,Science Fiction,Adventure,","Legendary Pictures,Double Dare You Productions,UpperRoom Productions,Universal Pictures,DENTSU,Clear Angle Studios,Double Negative (DNEG),Fuji Television Network,Perfect World Pictures,Twisted Media,",Pacific Rim Collection,"en,","CN,JP,GB,US,",4,"Transformers with some thought actually put into it! Plus, the always scrumptious Scott Eastwood always welcome. Yowza!,This movie is, to me, a quite nice special effects extravaganza. In some ways I actually liked this movie more than the first one.

Sure, the underlying story is totally ludicrous. Come one, fighting giant monster with big clumsy robots that requires two people in some strange mind melt to maneuver is just ridiculous. Just send in a couple of fighter jets with some suitable devices that go boom and be done with it. But then, the purpose of these movies are to show off giant robot special effects and on that note they certainly deliver.

This installment in the franchise seems to be more geared towards the younger audience as far as the story and the cast goes. Some people like it, some don’t. Personally I’m fairly neutral.

As with the previous movie the story is not really that much to write home about. It has plot holes big enough to drive I giant robot through. I just had to say that didn’t I? Still, there are some parts of this story that I liked better than the first one. It is a quite straightforward story with clear heroes, clear bad guys.

It does not really have any of that lazy stupid plot twist where some dumb ass politicians are trying to shut down the program to save money. Sure the program is in some danger but this time it is due to a new program that actually sounds reasonable and could improve things. Of course said program gets sabotaged but hey, we, the audience, want our big silly robots right?

The story is also mostly devoid of any stupid SJW crap or silly green preaching. The ridiculous crap about Dinosaurs being the first invasion and that we had terraformed the planet (global warming and all that stuff) so a second invasion was more likely to succeed was just an insult to the more intelligent among the audience and took off a star or two from the first movie for me.

On the whole I quite enjoyed the movie. It delivered where it counts, that is in the special effects department. Loads and loads of special effects mostly involving giant robots and Kaijus slugging it out with massive property damage as a result. They are literally beating each other up with skyscrapers for Christ sake!

The story, acting and everything else is adequate. Nothing more and nothing less. I do miss some colorful characters like Hannibal Chau (Ron Perlman) from the first movie. The characters in this one was more bland that has to be said.

It seems like a lot of people on IMDb and elsewhere have their pants in a twist over this movie and rates it one or two stars out of ten. That’s just nonsense. A one star rating is for a movie that is truly awful in all aspects. The special effects alone elevates this movie above one star. You might not like the turn towards the younger audience or something else in the movie but it still does not make it a one star movie.

Sure if you are not a science fiction or fantasy fan and do not care about special effects then I guess you could feel this is an awful movie but then why did you watch it in the first place? It is the second installment in the franchise so it should come as no surprise that the movie lives and dies by it’s special effects.

I would say that if you like giant robots, monsters and special effects and don’t mind a fairly thin story aimed for the slightly younger audience then there is a fair change that you will find this movie entertaining.,Boyega makes for a slightly more engaging lead than Charlie Hunnam did in the original, (co-pilot Eastwood is merely **as** dull as Charlie Hunnam) but _Uprising_ has virtually the exact same ups and down as the first _Pacific Rim_. If you dig that movie, you'll probably dig this. If you hated it, you'll probably hate this. Me? I'm on the lower end of mixed, for both.

_Final rating:★★½ - Had a lot that appealed to me, didn’t quite work as a whole._,The only thing that went wrong with this movie was Charlie Day turned out to be the surprise villain!

But....the none-stop action was very awesome.,","damage,army,sequel,alien,giant robot,giant monster,robot,kaiju,alien monster,teenage hero,robot suits,",31,365,"Steven S. DeKnight,"
God's Not Dead: A Light in Darkness,en,False,0,/gGBE24xD5NdMqvkJJEzP04jtFG9.jpg,,454286,tt6652708,"Pastor Dave  responds to the unimaginable tragedy of having his church, located on the grounds of the local university, burned down.",50.508,/1MwoZ4U8SGm7yIzfPFcTTbiiOYY.jpg,2018-03-30,5728940,105,Released,,God's Not Dead: A Light in Darkness,False,6.9,104,"Drama,","Pure Flix Productions,",God's Not Dead Collection,"en,","US,",0,,"church,aftercreditsstinger,",15,13,"Michael Mason,"
"Paul, Apostle of Christ",en,False,5000000,/euAMcJLG26pW1kv4kPEtVEwwroQ.jpg,http://www.paulmovie.com/,476968,tt7388562,"Risking his life, Luke ventures to Rome to visit Paul -- the apostle who's bound in chains and held captive in Nero's darkest and bleakest prison cell. Haunted by the shadows of his past misdeeds, Paul wonders if he's been forgotten as he awaits his grisly execution. Before Paul's death, Luke resolves to write another book that details the birth of what will come to be known as the church.",43.973,/2NUXG94dGMKYgJL1BkJGKynMb3l.jpg,2018-03-23,22525668,108,Released,Where sin abounds... grace abounds more,"Paul, Apostle of Christ",False,6.9,155,"History,Drama,","Outside Da Box,Affirm Films,ODB Films,",,"es,en,","US,",0,,"roman empire,bible,nero,1st century,christian film,",25,15,"Andrew Hyatt,"
Héctor El Father: Conocerás la verdad,es,False,0,/4ftNxKONVuvs6189D2VayUq3SFL.jpg,,511679,tt8271182,"This autobiography of Hector Delgado runs from his childhood to become one of the greatest exponents of the urban genre, but the results of that life did not please him and led him to try to take his life  .After being victim of a firefight at a service station in Aguada, a city hall in Puerto Rico, he stopped earning at least two hundred American dollars for presentation and being ""devout of Jesus""",40.836,/tkP0FzEivLxsUYt8BlaL8Sh7ceY.jpg,2018-03-22,0,90,Released,,Héctor El Father: Conocerás la verdad,False,7.6,77,"Drama,Documentary,","Mar de Cristal Films,",,"es,","PR,",0,,,7,2,"Joel Antonio Colón,"
Tomb Raider,en,False,94000000,/bLJTjfbZ1c5zSNiAvGYs1Uc82ir.jpg,http://www.tombraidermovie.com/,338970,tt1365519,"Lara Croft, the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she finds herself on the island where her father disappeared.",40.797,/ePyN2nX9t8SOl70eRW47Q29zUFO.jpg,2018-03-05,274650803,118,Released,Her legend begins,Tomb Raider,False,6.3,5726,"Action,Adventure,Fantasy,","Square Enix,GK Films,Metro-Goldwyn-Mayer,Warner Bros. Pictures,",,"en,","GB,US,",5,"ok walking into this movie i knew it was going to be fun not sure how much fun but fun however hen i sat down i got a treat there was a ton of action it was a really good movie too it had lots of adventure too and a good plot i really enjoyed it my only gripe is the begining is very slow but besudes that i say go see this movie,Your typical adventure film. Neither Vikander nor Goggins stand out. Though there was the screen debut of Daniel Wu as Lu Phen. 

Wow!,As a video game to movie adaptation Tomb Raider works on nearly every level, the only flaw being that there's so much of Tomb Raider to pack into two hours.
I had great expectations for this film and wasn't disappointed in the least. On the contrary, it was a blast from beginning to end with Alicia Vikander lending a nice touch of innocence to Lara, which is a clear nod to the 2013 game reboot which is what the film is based on.
Her tortuous relationship with her dad was predictable, but it wasn't overdone and it's a key element in the Lara story. On the other hand, we're plunged into the action right away and in that respect I was more than happy as the scenes were both exciting and typically Lara Croft. She uses keys, there are puzzles, traps,maps, evil foes and magnificent set pieces that, if you've ever played the games, will be instantly recognisable as Tomb Raider.
Much as has been said about the last two games perhaps giving a conflicted projection of Lara Croft - on the one hand a tormented soul and on the other, a ruthless killing machine. In all the games, she always killed the foes just to survive and the balance was just right here, with Alicia Vikander lending just the right amount of steely determination to the role.
More importantly, I could relate to the film having played all the games - the plane on top of the waterfall, the rolling spikes and the collapsing floor later on - all drew me in wonderfully.
I'll take two please, or preferably three!,Some of the most generic shit ever put to screen. Don't get how this was supposed to please anybody, Tomb Raider fan or otherwise.

_Final rating:★★ - Had some things that appeal to me, but a poor finished product._,""Not dead yet, no sh*t!""

Wanted to see this because I'm a long time fanboy of the game series. Liked the old movies with Angelina Jolie, perfect for a teenage boy with the humor; action and a beautiful lead actress.

Alicia Vikander delivers a solid performance combined with a more realistic plot. Great action sequences with a nice cliffhanger for a sequel.

Only downside would be the role of Daniel Wu as there was no need for a sidekick who isn't really included in the storyline.

Your regular action-adventure that gets lifted above the rest because of the solid and stunning lead actress.,","island,treasure hunt,remake,female protagonist,heiress,based on video game,bicycle courier,missing person,reboot,peril,slave labor,father daughter relationship,",36,274,"Roar Uthaug,"
치즈인더트랩,ko,False,0,/CLThrvZR4DuuslyW6ECuwebwkm.jpg,,471335,tt6886062,Movie is based on the popular webcomic “Cheese in the Trap” by Soonkki which was previously adapted in the 2016 television drama series “Cheese in the Trap.”,40.716,/jG1nfIvkSpwlEt2EeAG6oGFKyqY.jpg,2018-03-14,0,113,Released,,Cheese in the Trap,False,5.7,16,"Romance,Drama,Thriller,","Mountain Movement Story,Little Big Pictures,",,"ko,","KR,",0,,"based on comic,",9,9,"Kim Je-young,"
A Wrinkle in Time,en,False,103000000,/zqUaMojohr96itJYCE3W1NauTn7.jpg,http://movies.disney.com/a-wrinkle-in-time,407451,tt1620680,"After the disappearance of her scientist father, three peculiar beings send Meg, her brother, and her friend to space in order to find him.",31.94,/yAcb58vipewa1BfNit2RjE6boXA.jpg,2018-03-08,132675864,109,Released,Be a warrior,A Wrinkle in Time,False,5.1,1385,"Adventure,Science Fiction,Family,Fantasy,","Whitaker Entertainment,Walt Disney Pictures,",,"en,","US,",2,"Oh man, if I'd at any point ever had any faith at all in _A Wrinkle in Time_? I would have been **sorely** disappointed. Which is a shame on both counts, because it would be great if a film targeted at young people with both complex ideas **and** multiple women of colour in lead roles could have been like... Good.

_Final rating:★½: - Boring/disappointing. Avoid where possible._,Sweet enough. Just a shame it doesn't finish as great it starts.

<em>'A Wrinkle in Time'</em>, I think, starts off very nicely. It gives a satisfactory background to the main character, while it builds the intrigue well. Unfortunately, it does drop off as it goes on - but not to the point that it hindered my enjoyment, it is a noticeable step down though. I really like the special effects, I think they look terrific throughout.

Onto the cast. Storm Reid does a respectable job as Meg, her performance arguably gets better as things progress - which is the opposite to the film overall. Chris Pine is underused in his role, but the casting of Oprah Winfrey, Reese Witherspoon and Mindy Kaling is good - Zach Galifianakis too. I didn't actually find Deric McCabe's character, Charles Wallace, annoying like most seemingly did.

Surprised to see that this has a low rating across the board. I've never read the Madeleine L'Engle novel so perhaps that has something to do with it? I do agree the writing isn't necessarily great either. Each to the own, but I genuinely enjoyed it I can't lie.,","based on novel or book,child prodigy,remake,teenager,family,science,woman director,mixed race,",38,39,"Ava DuVernay,"
文豪ストレイドッグス DEAD APPLE,ja,False,0,/vjnS4iu0SdwXm2LLqZGNCfpId9t.jpg,http://bungo-stray-dogs.jp/movie/,483455,tt8391976,"A large scale catastrophe is occurring across the planet. Ability users are discovered after the appearance of a mysterious fog, apparently having committed suicide, so the Armed Detective Agency sets out to investigate these mysterious deaths. The case seems to involve an unknown ability user referred to as ""Collector,"" a man who could be the mastermind behind the incident. Trust and courage are put to the test in order to save the city of Yokohama and ability users across the world from the grip of Collector where the Armed Detective Agency forms an unlikely partnership with the dangerous Port Mafia.",31.019,/7ueB7Kxq2GObp5aDw6rsdzVefzP.jpg,2018-03-03,0,90,Released,,Bungo Stray Dogs: Dead Apple,False,8.3,62,"Animation,Action,Comedy,Mystery,Crime,Fantasy,","BONES,",,"ja,","JP,",0,,"supernatural,mafia,super power,anime,",17,6,"Takuya Igarashi,"
Death Wish,en,False,30000000,/uQqQvmptJLPTcWDrZXn22p7j7s3.jpg,https://www.deathwish.movie/,395990,tt1137450,A mild-mannered father is transformed into a killing machine after his family is torn apart by a violent act.,30.836,/g0eEEZAqMf98ULQnoiORuazjOpn.jpg,2018-03-02,34017028,107,Released,How Far Would You Go To Protect Your Family?,Death Wish,False,6.1,1794,"Action,Crime,Drama,Thriller,","Metro-Goldwyn-Mayer,Cave 76 Productions,",,"en,","US,",4,"""Willis and his director faced an uphill battle to make their lead character anything less than reprehensible; if that’s their only achievement, it’s a significant if questionable one...""

Read the full review here: http://screen-space.squarespace.com/reviews/2018/3/6/death-wish.html,When Hollywood starts regurgitating old Charles Bronson Films that we’re ico in their day. Then cast the washed-up Bruce Willis , you gotta know that Hollywood is totally bereft of any original ideas. 

I mean what producer actually signed off on this piece of Shite?

It is an insult to any moviegoer and should be liable for incurred costs on wasting a patrons valuable time and money.

Simply Abysmal.,""It's not as good as the original"" he said, shocking absolutely no one.

It's alright though. I don't think that I'll watch this Bruce Willis version ever again, but I actually didn't hate my experience here.

_Final rating:★★½ - Had a lot that appealed to me, didn’t quite work as a whole._,Robert “Bronzi” Kovacs Played in a Movie called Death Kiss, he looks like Charles Bronson not a bad actor, he'd been better that Bruce, or possibly the two could have been in the remake.,","robbery,detective,based on novel or book,gun,kidnapping,police,vigilante,remake,shootout,blood,dark hero,criminal,death of wife,father daughter relationship,vigilante justice,",28,94,"Eli Roth,"
